Season,Episode,Episode in Season,Title,Director(s),Writer(s),Air Date,Opening Line
1,1,1,Space Pilot 3000,Rich Moore & Gregg Vanzo,David X. Cohen & Matt Groening,(1999-03-28), In Color.
1,2,2,The Series Has Landed,Peter Avanzino,Ken Keeler,(1999-04-04), In Hypno-Vision.
1,3,3,"I, Roommate",Bret Haaland,Eric Horsted,(1999-04-06), As Seen On TV.
1,4,4,Love's Labours Lost in Space,Brian Sheesley,Brian Kelley,(1999-04-13), presented in BC [Brain Control] where available.
1,5,5,Fear of a Bot Planet,Peter Avanzino & Carlos Baeza,Evan Gore & Heather Lombard,(1999-04-20), Featuring Gratuitous Alien Nudity.
1,6,6,A Fishful of Dollars,Ron Hughart & Gregg Vanzo,Patric M. Verrone,(1999-04-27), Loading...
1,7,7,My Three Suns,Jeffrey Lynch & Kevin O'Brien,J. Stewart Burns,(1999-05-04), Presented in Doublevision Doublevision (Where Drunk)
1,8,8,A Big Piece of Garbage,Susan Dietter,Lewis Morton,(1999-05-11), Mr. Bender's Wardrobe By Robotany 500.
1,9,9,Hell Is Other Robots,Rich Moore,Eric Kaplan,(1999-05-18), Condemned By The Space Pope.
1,10,10,A Flight to Remember,Peter Avanzino,Eric Horsted,(1999-09-26), Filmed On Location.
1,11,11,Mars University,Bret Haaland,J. Stewart Burns,(1999-10-03), Transmitido en Martian en SAP.
1,12,12,When Aliens Attack,Brian Sheesley,Ken Keeler,(1999-11-07), Proudly Made On Earth.
1,13,13,Fry and the Slurm Factory,Ron Hughart,Lewis Morton,(1999-11-14), Live From Omicron Persei 8.
2,14,1,I Second That Emotion,Mark Ervin,Patric M. Verrone,"(November 21, 1999)", Made From Meat By-Products.
2,15,2,"Brannigan, Begin Again",Jeffrey Lynch,Lewis Morton,"(November 28, 1999)",Not Y3K Compliant.
2,16,3,A Head in the Polls,Bret Haaland,J. Stewart Burns,"(December 12, 1999)", From The Makers Of Futurama.
2,17,4,Xmas Story,Peter Avanzino,David X. Cohen,"(December 19, 1999)", Based On a True Story.
2,18,5,Why Must I Be a Crustacean in Love?,Brian Sheesley,Eric Kaplan,"(February 6, 2000)"," From the network that brought you ""The Simpsons""."
2,19,6,The Lesser of Two Evils,Chris Sauve,Eric Horsted,"(February 20, 2000)", The Show That Watches Back.
2,20,7,Put Your Head on My Shoulders,Chris Louden,Ken Keeler,"(February 13, 2000)", Not Based On The Novel by James Fenimore Cooper.
2,21,8,Raging Bender,Ron Hughart,Lewis Morton,"(February 27, 2000)", Nominated For Three Glemmys.
2,22,9,A Bicyclops Built for Two,Susan Dietter,Eric Kaplan,"(March 19, 2000)", This Episode Has Been Modified To Fit Your Primitive Screen.
2,23,10,A Clone of My Own,Rich Moore,Patric M. Verrone,"(April 9, 2000)", Coming Soon To An Illegal DVD.
2,24,11,How Hermes Requisitioned His Groove Back,Mark Ervin,Bill Odenkirk,"(April 2, 2000)", As Foretold by Nostradamus.
2,25,12,The Deep South,Bret Haaland,J. Stewart Burns,"(April 16, 2000)", A Stern Warning of Things to Come.
2,26,13,Bender Gets Made,Peter Avanzino,Eric Horsted,"(April 30, 2000)", Simulcast On Crazy People's Fillings.
2,27,14,Mother's Day,Brian Sheesley,Lewis Morton,"(May 14, 2000)"," Larva-Tested, Pupa-Approved."
2,28,15,The Problem with Popplers,Chris Sauve & Gregg Vanzo,Story byâ€Š: Darin Henry & Patric M. Verrone Teleplay byâ€Š: Patric M. Verrone,"(May 7, 2000)", For External Use Only.
2,29,16,Anthology of Interest I,Chris Louden & Rich Moore,"Eric Rogers, Ken Keeler and David X. Cohen","(May 21, 2000)", Painstakingly Drawn Before A Live Audience.
2,30,17,War Is the H-Word,Ron Hughart,Eric Horsted,"(November 26, 2000)", Touch Eyeballs To Screen For Cheap Laser Surgery.
2,31,18,The Honking,Susie Dietter,Ken Keeler,"(November 5, 2000)", Smell-O-Vision Users Insert Nostril Tubes Now.
2,32,19,The Cryonic Woman,Mark Ervin,J. Stewart Burns,"(December 3, 2000)", Not a Substitute for Human Interaction.
3,33,1,Amazon Women in the Mood,Brian Sheesley,Lewis Morton,"(February 4, 2001)", Secreted by the Comedy Bee.
3,34,2,Parasites Lost,Peter Avanzino,Eric Kaplan,"(January 21, 2001)"," If Not Entertaining, Write Your Congressman."
3,35,3,A Tale of Two Santas,Ron Hughart,Bill Odenkirk,"(December 23, 2001)", This Episode Performed Entirely By Sock Puppets.
3,36,4,The Luck of the Fryrish,Chris Louden,Ron Weiner,"(March 11, 2001)", Broadcast Simultaneously One Year In The Future.
3,37,5,The Birdbot of Ice-Catraz,James Purdum,Dan Vebber,"(March 4, 2001)", Now With Chucklelin.
3,38,6,Bendless Love,Swinton O. Scott III,Eric Horsted,"(February 11, 2001)", Torn From Tomorrow's Headlines.
3,39,7,The Day the Earth Stood Stupid,Mark Ervin,Story byâ€Š: Jeff Westbrook and David X. Cohen Teleplay byâ€Š: Jeff Westbrook,"(February 18, 2001)", 80% Entertainment By Volume.
3,40,8,That's Lobstertainment!,Bret Haaland,Patric M. Verrone,"(February 25, 2001)", Deciphered From Crop Circles.
3,41,9,The Cyber House Rules,Susie Dietter,Lewis Morton,"(April 1, 2001)", Please Rise For The Futurama Theme Song.
3,42,10,Where the Buggalo Roam,Patty Shinagawa,J. Stewart Burns,"(March 3, 2002)", Krafted With Luv By Monsters.
3,43,11,Insane in the Mainframe,Peter Avanzino,Bill Odenkirk,"(April 8, 2001)", Bender's Humor by Microsoft Joke.
3,44,12,The Route of All Evil,Brian Sheesley,Dan Vebber,"(December 8, 2002)", Disclaime
3,45,13,Bendin' in the Wind,Ron Hughart,Eric Horsted,"(April 22, 2001)", Federal Law Prohibits Changing The Channel.
3,46,14,Time Keeps On Slippin',Chris Louden,Ken Keeler,"(May 6, 2001)"," For Proper Viewing, Take Red Pill Now."
3,47,15,I Dated a Robot,James Purdum,Eric Kaplan,"(May 13, 2001)", No Humans Were Probed In The Making Of This Episode.
3,48,16,A Leela of Her Own,Swinton O. Scott III,Patric M. Verrone,"(April 7, 2002)", Scratch Here To Reveal Prize.
3,49,17,A Pharaoh to Remember,Mark Ervin,Ron Weiner,"(March 10, 2002)", Psst ... Big Party At Your House After The Show!
3,50,18,Anthology of Interest II,Bret Haaland,Lewis MortonDavid X. CohenJason Gorbett & Scott Kirby,"(January 6, 2002)"," Hey, TiVo! Suggest this!"
3,51,19,Roswell That Ends Well,Rich Moore,J. Stewart Burns,"(December 9, 2001)", Fun For The Whole Family. Except Grandma And Grandpa.
3,52,20,Godfellas,Susie Dietter,Ken Keeler,"(March 17, 2002)", Please Turn Off All Cell Phones And Tricorders.
3,53,21,Future Stock,Brian Sheesley,Aaron Ehasz,"(March 31, 2002)", Love It Or Shove It.
3,54,22,The 30% Iron Chef,Ron Hughart,Jeff Westbrook,"(April 14, 2002)"," If Accidentally Watched, Induce Vomiting."
4,55,1,Kif Gets Knocked Up a Notch,Wes Archer,Bill Odenkirk,"(January 12, 2003)", Bigfoot's Choice.
4,56,2,Leela's Homeworld,Mark Ervin,Kristin Gore,"(February 17, 2002)"," It's Like ""Hee-Haw"" With Lasers."
4,57,3,Love and Rocket,Brian Sheesley,Dan Vebber,"(February 10, 2002)"," When You See The Robot, Drink!"
4,58,4,Less Than Hero,Susie Dietter,Ron Weiner,"(March 2, 2003)", Soon To Be A Major Religion.
4,59,5,A Taste of Freedom,James Purdum,Eric Horsted,"(December 22, 2002)", Or Is It?
4,60,6,Bender Should Not Be Allowed on TV,Ron Hughart,Lewis Morton,"(August 3, 2003)", Controlling You Through A Chip In Your Butt Since 1999.
4,61,7,Jurassic Bark,Swinton O. Scott III,Eric Kaplan,"(November 17, 2002)", Not Affiliated With Futurama Brass Knuckle Co.
4,62,8,Crimes of the Hot,Peter Avanzino,Aaron Ehasz,"(November 10, 2002)", Known To Cause Insanity In Laboratory Mice.
4,63,9,Teenage Mutant Leela's Hurdles,Bret Haaland,Jeff Westbrook,"(March 30, 2003)", Now Interactive! Joystick Controls Fry's Left Ear!
4,64,10,The Why of Fry,Wes Archer,David X. Cohen,"(April 6, 2003)", Dancing Space Potatoes? You Bet!
4,65,11,Where No Fan Has Gone Before,Patty Shinagawa,David A. Goodman,"(April 21, 2002)", Where No Fan Has Gone Before.
4,66,12,The Sting,Brian Sheesley,Patric M. Verrone,"(June 1, 2003)", A By-Product Of The TV Industry.
4,67,13,Bend Her,James Purdum,Michael Rowe,"(July 20, 2003)", Too Hot For Radio.
4,68,14,Obsoletely Fabulous,Dwayne Carey-Hill,Dan Vebber,"(July 27, 2003)", You Can't Prove It Won't Happen.
4,69,15,The Farnsworth Parabox,Ron Hughart,Bill Odenkirk,"(June 8, 2003)", Beats A Hard Kick In The Face.
4,70,16,Three Hundred Big Boys,Swinton O. Scott III,Eric Kaplan,"(June 15, 2003)"," Voted ""Best""."
4,71,17,Spanish Fry,Peter Avanzino,Ron Weiner,"(July 13, 2003)"," Thanks For Watching, Futurama Slave Army (in AL1)."
4,72,18,The Devil's Hands Are Idle Playthings,Bret Haaland,Ken Keeler,"(August 10, 2003)"," See You On Some Other Channel. Above the caption Fry, Bender and Leela are heroes in an oval."
5,73,1,Bender's Big Score Part 1,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23), It just won't stay dead!
5,74,2,Bender's Big Score Part 2,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23)," Watch, Rinse, Repeat"
5,75,3,Bender's Big Score Part 3,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23), Apply directly to the foreclaw
5,76,4,Bender's Big Score Part 4,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23), Last known transmission of the Hubble Telescope
5,77,5,The Beast with a Billion Backs Part 1,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19), The Proud Result Of Prison Labor.
5,78,6,The Beast with a Billion Backs Part 2,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19), It Makes a Nice Sandwich
5,79,7,The Beast with a Billion Backs Part 3,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19),1.00E+14
5,80,8,The Beast with a Billion Backs Part 4,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19), The Robots are Coming! The Robots are Coming!
5,81,9,Bender's Game Part 1,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),
5,82,10,Bender's Game Part 2,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),"The episode they'll be thinking about by the water cooler, but not mentioning specifically"
5,83,11,Bender's Game Part 3,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),Current eBay Bid: $8.51
5,84,12,Bender's Game Part 4,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),Collect all fifty billion!
5,85,13,Into the Wild Green Yonder Part 1,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),
5,86,14,Into the Wild Green Yonder Part 2,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),"If you can read this, thank us!"
5,87,15,Into the Wild Green Yonder Part 3,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),Now available without a prescription
5,88,16,Into the Wild Green Yonder Part 4,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),[in AL1] The humans shall not defeat us
6,89,1,Rebirth,Frank Marino,Story by: David X. Cohen & Matt Groening Teleplay by: David X. Cohen,"(June 24, 2010)",
6,90,2,In-A-Gadda-Da-Leela,Dwayne Carey-Hill,Story by: Carolyn Premish & Matt Groening Teleplay by: Carolyn Premish,"(June 24, 2010)","""The Transcredible Exploits of Zapp Brannigan - Brought to You by Bartley's Rocket Wax"""
6,91,3,Attack of the Killer App,Stephen Sandoval,Patric M. Verrone,"(July 1, 2010)",
6,92,4,Proposition Infinity,Crystal Chesney-Thompson,Michael Rowe,"(July 8, 2010)", Dictated But Not Read.
6,93,5,The Duh-Vinci Code,Raymie Muzquiz,Maiya Williams,"(July 15, 2010)", Put on 3-D monocle now.
6,94,6,Lethal Inspection,Ray Claffey,Eric Horsted,"(July 22, 2010)", Made you look!
6,95,7,The Late Philip J. Fry,Peter Avanzino,Lewis Morton,"(July 29, 2010)"," If you don't watch it, someone else will."
6,96,8,That Darn Katz!,Frank Marino,Josh Weinstein,"(August 5, 2010)", (Or similar product).
6,97,9,A Clockwork Origin,Dwayne Carey-Hill,Dan Vebber,"(August 12, 2010)"," This time, it's personal."
6,98,10,The Prisoner of Benda,Stephen Sandoval,Ken Keeler,"(August 19, 2010)", What happens in Cygnus X-1 Stays in Cygnus X-1.
6,99,11,Lrrreconcilable Ndndifferences,Crystal Chesney-Thompson,Patric M. Verrone,"(August 26, 2010)", Two scoops of pixels in every scene.
6,100,12,The Mutants Are Revolting,Raymie Muzquiz,Eric Horsted,"(September 2, 2010)",100
6,101,13,The Futurama Holiday Spectacular,Ray Claffey,Michael Rowe,"(November 21, 2010)",
6,102,14,The Silence of the Clamps,Frank Marino,Eric Rogers,"(July 14, 2011)", NO REFUNDS
6,103,15,Möbius Dick,Dwayne Carey-Hill,Dan Vebber,"(August 4, 2011)"," FEATURING SPARKY, THE INVISIBLE ELF"
6,104,16,Law and Oracle,Stephen Sandoval,Josh Weinstein,"(July 7, 2011)", FOR THE SOPHISTICATED SHUT-IN
6,105,17,Benderama,Crystal Chesney-Thompson,Aaron Ehasz,"(June 23, 2011)"," OTHERS ASK, ""WHAT IF?"" WE ASK, ""WHY IF."""
6,106,18,The Tip of the Zoidberg,Raymie Muzquiz,Ken Keeler,"(August 18, 2011)", IT'S TENTACULAR!
6,107,19,Ghost in the Machines,Ray Claffey,Patric M. Verrone,"(June 30, 2011)", #1 MOST VIEWED SHOW AMONG VIEWBOTS
6,108,20,Neutopia,Edmund Fong,J. Stewart Burns,"(June 23, 2011)", PROVIDES A FULL DAY'S SUPPLY OF VITAMIN F!
6,109,21,Yo Leela Leela,Frank Marino,Eric Horsted,"(July 21, 2011)", PENETRATES EVEN THE THICKEST FOIL HAT
6,110,22,Fry Am the Egg Man,Dwayne Carey-Hill,Michael Rowe,"(August 11, 2011)", THE ONE BRIGHT SPOT IN YOUR LIFE!
6,111,23,All the Presidents' Heads,Stephen Sandoval,Josh Weinstein,"(July 28, 2011)", APPLY VIEWING OIL NOW
6,112,24,Cold Warriors,Crystal Chesney-Thompson,Dan Vebber,"(August 25, 2011)"," WE'RE FOLLOWING YOU, BUT NOT ON TWITTER"
6,113,25,Overclockwise,Raymie Muzquiz,Ken Keeler,"(September 1, 2011)", SOON TO BE A HIT TELEVISION SHOW
6,114,26,Reincarnation,Peter Avanzino,Aaron Ehasz,"(September 8, 2011)", REINCARNATION
7,115,1,The Bots and the Bees,Stephen Sandoval,Eric Horsted,(2012-06-20),
7,116,2,A Farewell to Arms,Raymie Muzquiz,Josh Weinstein,(2012-06-20),Ask your doctor if Futurama is right for you
7,117,3,Decision 3012,Dwayne Carey-Hill,Patric M. Verrone,(2012-06-27),Made from 100% recycled pixels
7,118,4,The Thief of Baghead,Edmund Fong,Dan Vebber,(2012-07-04),
7,119,5,Zapp Dingbat,Frank Marino,Eric Rogers,(2012-07-11),
7,120,6,The Butterjunk Effect,Crystal Chesney-Thompson,Michael Rowe,(2012-07-18),
7,121,7,The Six Million Dollar Mon,Peter Avanzino,Ken Keeler,(2012-07-25),
7,122,8,Fun on a Bun,Stephen Sandoval,Dan Vebber,(2012-08-01),
7,123,9,Free Will Hunting,Raymie Muzquiz,David X. Cohen,(2012-08-08),
7,124,10,Near-Death Wish,Lance Kramer,Eric Horsted,(2012-08-15),
7,125,11,31st Century Fox,Edmund Fong,Patric M. Verrone,(2012-08-29),
7,126,12,Viva Mars Vegas,Frank Marino,Josh Weinstein,(2012-08-22),
7,127,13,Naturama,Crystal Chesney-Thompson,Eric Rogers & Michael Saikin & Neil Mukhopadhyay,(2012-08-29),
7,128,14,Forty Percent Leadbelly,Stephen Sandoval,Ken Keeler,(2013-07-03),
7,129,15,2-D Blacktop,Raymie Muzquiz,Michael Rowe,(2013-06-19),
7,130,16,T.: The Terrestrial,Lance Kramer,Josh Weinstein,(2013-06-26),
7,131,17,Fry and Leela's Big Fling,Edmund Fong,Eric Rogers,(2013-06-19),
7,132,18,The Inhuman Torch,Frank Marino,Dan Vebber,(2013-07-10),
7,133,19,Saturday Morning Fun Pit,Crystal Chesney-Thompson,Patric M. Verrone,(2013-07-17),
7,134,20,Calculon 2.0,Stephen Sandoval,Lewis Morton,(2013-07-24),
7,135,21,Assie Come Home,Raymie Muzquiz,Maiya Williams,(2013-07-31),
7,136,22,Leela and the Genestalk,Lance Kramer,Eric Horsted,(2013-08-07),
7,137,23,Game of Tones,Edmund Fong,Michael Rowe,(2013-08-14),
7,138,24,Murder on the Planet Express,Frank Marino,Lewis Morton,(2013-08-21),
7,139,25,Stench and Stenchibility,Crystal Chesney-Thompson,Eric Horsted,(2013-08-28),
7,140,26,Meanwhile,Peter Avanzino,Ken Keeler,(2013-09-04),
